neighbourhood_cleansed,room_type,count
Fordham,Entire home/apt,3
Fordham,Private room,27
Fordham,Shared room,2
Forest Hills,Entire home/apt,70
Forest Hills,Private room,81
Forest Hills,Shared room,4
Fort Greene,Entire home/apt,293
Fort Greene,Private room,162
Fort Greene,Shared room,2
Fort Hamilton,Entire home/apt,28
Fort Hamilton,Private room,26
Fort Hamilton,Shared room,6
Fort Wadsworth,Entire home/apt,1
Fresh Meadows,Entire home/apt,10
Fresh Meadows,Private room,11
Fresh Meadows,Shared room,1
Gerritsen Beach,Entire home/apt,1
Gerritsen Beach,Private room,2
Glen Oaks,Private room,2
Glen Oaks,Shared room,1
Glendale,Entire home/apt,13
Glendale,Private room,30
Gowanus,Entire home/apt,126
Gowanus,Private room,96
Gowanus,Shared room,3
Gramercy,Entire home/apt,256
Gramercy,Private room,115
Gramercy,Shared room,5
Graniteville,Entire home/apt,2
Graniteville,Private room,1
Grant City,Entire home/apt,1
Gravesend,Entire home/apt,15
Gravesend,Private room,38
Gravesend,Shared room,2
Great Kills,Entire home/apt,3
Great Kills,Private room,1
Greenpoint,Entire home/apt,592
Greenpoint,Private room,551
Greenpoint,Shared room,9
Greenwich Village,Entire home/apt,326
Greenwich Village,Private room,105
Greenwich Village,Shared room,6
Grymes Hill,Entire home/apt,1
Grymes Hill,Private room,2
Harlem,Entire home/apt,1095
Harlem,Private room,1714
Harlem,Shared room,75
Hells Kitchen,Entire home/apt,1134
Hells Kitchen,Private room,689
Hells Kitchen,Shared room,46
Highbridge,Entire home/apt,6
Highbridge,Private room,26
Hollis,Entire home/apt,3
Hollis,Private room,4
Hollis,Shared room,1
Hollis Hills,Private room,1
Holliswood,Entire home/apt,1
Holliswood,Private room,6
Howard Beach,Entire home/apt,5
Howard Beach,Private room,9
Howland Hook,Entire home/apt,1
Huguenot,Entire home/apt,2
Hunts Point,Entire home/apt,2
Hunts Point,Private room,10
Inwood,Entire home/apt,114
Inwood,Private room,142
Inwood,Shared room,13
Jackson Heights,Entire home/apt,56
Jackson Heights,Private room,109
Jackson Heights,Shared room,17
Jamaica,Entire home/apt,41
Jamaica,Private room,112
Jamaica,Shared room,6
Jamaica Estates,Entire home/apt,8
Jamaica Estates,Private room,9
Jamaica Estates,Shared room,1
Jamaica Hills,Entire home/apt,2
Jamaica Hills,Private room,4
Kensington,Entire home/apt,74
Kensington,Private room,92
Kensington,Shared room,5
Kew Gardens,Entire home/apt,17
Kew Gardens,Private room,21
Kew Gardens,Shared room,6
Kew Gardens Hills,Entire home/apt,11
Kew Gardens Hills,Private room,8
Kew Gardens Hills,Shared room,1
Kingsbridge,Entire home/apt,18
Kingsbridge,Private room,36
Kingsbridge,Shared room,3
Kips Bay,Entire home/apt,306
Kips Bay,Private room,121
Kips Bay,Shared room,20
Laurelton,Entire home/apt,3
Laurelton,Private room,8
Lighthouse Hill,Entire home/apt,3
Little Italy,Entire home/apt,53
Little Italy,Private room,47
Little Italy,Shared room,4
Little Neck,Private room,2
Long Island City,Entire home/apt,219
Long Island City,Private room,283
Long Island City,Shared room,19
Longwood,Entire home/apt,13
Longwood,Private room,27
Lower East Side,Entire home/apt,567
Lower East Side,Private room,431
Lower East Side,Shared room,36
Manhattan Beach,Entire home/apt,6
Manhattan Beach,Private room,6
Manhattan Beach,Shared room,1
Marble Hill,Entire home/apt,7
Marble Hill,Private room,5
Marble Hill,Shared room,1
Mariners Harbor,Entire home/apt,1
Mariners Harbor,Private room,7
Maspeth,Entire home/apt,33
Maspeth,Private room,57
Maspeth,Shared room,3
Melrose,Entire home/apt,1
Melrose,Private room,8
Middle Village,Entire home/apt,13
Middle Village,Private room,10
Middle Village,Shared room,1
Midland Beach,Entire home/apt,5
Midland Beach,Private room,2
Midtown,Entire home/apt,907
Midtown,Private room,345
Midtown,Shared room,27
Midwood,Entire home/apt,31
Midwood,Private room,68
Midwood,Shared room,9
Mill Basin,Entire home/apt,3
Morningside Heights,Entire home/apt,185
Morningside Heights,Private room,243
Morningside Heights,Shared room,11
Morris Heights,Entire home/apt,5
Morris Heights,Private room,10
Morris Heights,Shared room,3
Morris Park,Private room,6
Morrisania,Entire home/apt,4
Morrisania,Private room,7
Mott Haven,Entire home/apt,21
Mott Haven,Private room,34
Mount Eden,Private room,9
Mount Hope,Entire home/apt,5
